sku,name,brand,category,price_net,sale_price,stock,condition,short_description,part_number
XG-10001,XGate Brake Disc Front Vented 288mm,XGate,brake-discs,2450.00,,24,new,Vented front disc for the Astra H and Zafira B. Sold singly.,569 004
XG-10002,XGate Brake Disc Rear Solid 264mm,XGate,brake-discs,1890.00,1690.00,18,new,Solid rear disc. Fits Astra H 1.7 CDTI.,569 111
XG-10003,XGate Brake Pad Set Front,XGate,brake-pads,1450.00,,40,new,Low-dust front pad set with wear sensor cutouts.,1605 999
XG-10004,XGate Brake Pad Set Rear,XGate,brake-pads,1180.00,,36,new,Rear pad set. Includes anti-squeal shims.,1605 998
XG-10005,XGate Brake Caliper Front Left,XGate,brake-calipers,8900.00,7900.00,6,refurbished,Remanufactured caliper. Old unit surcharge applies.,542 021
XG-10006,XGate Brake Fluid DOT 4 1L,XGate,brake-fluid,320.00,,120,new,DOT 4 fluid. Boiling point 230C dry.,1940 013
XG-10007,XGate Oil Filter Spin-On,XGate,oil-filters,410.00,,85,new,Spin-on filter with anti-drainback valve.,650 307
XG-10008,XGate Cabin Filter Activated Carbon,XGate,cabin-filters,690.00,590.00,52,new,Carbon cabin filter. Reduces pollen and odours.,1808 524
XG-10009,XGate Shock Absorber Front Gas,XGate,shock-absorbers,4300.00,,14,new,Gas-pressure front damper. Sold singly.,344 459
XG-10010,XGate Bulb H7 12V 55W,XGate,bulbs,290.00,,150,new,H7 halogen bulb. Sold singly.,64210
